id,problem_name,explanation,output,original_code,comment_less_code,decompiled,response_decompiled,bleu_score
23,C Program to Display Characters from A to Z Using Loop,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-if-else-statement
• https://www.programiz.com/c-programming/c-do-while-loops

In this program, the for loop is used to display the English alphabet in uppercase.

Here's a little modification of the above program. The program displays the English alphabet in either uppercase or lowercase depending upon the input given by the user.",,"#include <stdio.h>
int main() {
char c;
for (c = 'A'; c <= 'Z'; ++c)
printf(""%c "", c);
return 0;
}","#include <stdio.h>
int main() {
    char c;
    for (c = 'A'; c <= 'Z'; ++c)
        printf(""%c "", c);
    return 0;
}"," 
undefined8 entry(void)

{
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  _printf(""%c "");
  return 0;
}


","This is a simple program function named 'entry' that prints a single character, represented by ""%c"", 26 times when called. Each ""_printf(""%c "");"" statement prints a character which is not specified in this snippet. The function 'entry' then ends by returning 0, indicating that it has run successfully.",3.776755105596976e-155
24,C Program to Count Number of Digits in an Integer,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C while and do...while Loop
This program takes an integer from the user and calculates the number of digits. For example: If the user enters 2319, the output of the program will be 4.

The integer entered by the user is stored in variable n. Then the do...while https://www.programiz.com/c-programming/c-do-while-loops is iterated until the test expression n! = 0 is evaluated to 0 (false).
• After the first iteration, the value of n will be 345 and the count is incremented to 1.
• After the second iteration, the value of n will be 34 and the count is incremented to 2.
• After the third iteration, the value of n will be 3 and the count is incremented to 3.
• After the fourth iteration, the value of n will be 0 and the count is incremented to 4.
• Then the test expression of the loop is evaluated to false and the loop terminates.
Note: We have used a do...while loop to ensure that we get the correct digit count when the user enters 0.",,"#include <stdio.h>
int main() {
long long n;
int count = 0;
printf(""Enter an integer: "");
scanf(""%lld"", &n);
// iterate at least once, then until n becomes 0
// remove last digit from n in each iteration
// increase count by 1 in each iteration
do {
n /= 10;
++count;
} while (n != 0);
printf(""Number of digits: %d"", count);
}","#include <stdio.h>
int main() {
  long long n;
  int count = 0;
  printf(""Enter an integer: "");
  scanf(""%lld"", &n);
 
  do {
    n /= 10;
    ++count;
  } while (n != 0);

  printf(""Number of digits: %d"", count);
}"," 
undefined8 entry(void)

{
  ulong uVar1;
  long local_18;
  
  _printf(""Enter an integer: "");
  _scanf(""%lld"");
  do {
    uVar1 = local_18 + 9;
    local_18 = local_18 / 10;
  } while (0x12 < uVar1);
  _printf(""Number of digits: %d"");
  return 0;
}


","This program prompts the user to input an integer. The main part of the code involves a loop that keeps dividing the integer by 10 and adding 9 until it becomes less than 18. The purpose of this loop isn't clear given current program though. Finally, it prints the statement ""Number of digits: "", but does not print any specific value.",2.2975586498795255e-79
25,C Program to Reverse a Number,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C while and do...while Loop

This program takes integer input from the user. Then the while loop is used until n != 0 is false (0).
In each iteration of the loop, the remainder when n is divided by 10 is calculated and the value of n is reduced by 10 times.
Inside the loop, the reversed number is computed using:

reverse = reverse * 10 + remainder;
Let us see how the while loop works when n = 2345.",,"#include <stdio.h>
int main() {
int n, reverse = 0, remainder;
printf(""Enter an integer: "");
scanf(""%d"", &n);
while (n != 0) {
remainder = n % 10;
reverse = reverse * 10 + remainder;
n /= 10;
}
printf(""Reversed number = %d"", reverse);
return 0;
}","#include <stdio.h>
int main() {
int n, reverse = 0, remainder;
printf(""Enter an integer: "");
scanf(""%d"", &n);
while (n != 0) {
remainder = n % 10;
reverse = reverse * 10 + remainder;
n /= 10;
}
printf(""Reversed number = %d"", reverse);
return 0;
}"," 
undefined8 entry(void)

{
  uint uVar1;
  int local_14;
  
  _printf(""Enter an integer: "");
  _scanf(""%d"");
  if (local_14 != 0) {
    do {
      uVar1 = local_14 + 9;
      local_14 = local_14 / 10;
    } while (0x12 < uVar1);
  }
  _printf(""Reversed number = %d"");
  return 0;
}


","This code prompts the user to enter an integer. If the integer is non-zero, it enters into a loop. Inside this loop, the code adds 9 to the integer and then divides it by ten until the integer, once added to 9, is no longer higher than 18. Finally, it prints out the result - the 'reversed' number.",8.636449918194198e-79
26,C Program to Calculate the Power of a Number,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C while and do...while Loop
The program below takes two integers from the user (a base number and an exponent) and calculates the power.

For example: In the case of 23

2 is the base number
3 is the exponent
And, the power is equal to 2*2*2

We can also use the pow() function to calculate the power of a number.",,"#include <stdio.h>
int main() {
    int base, exp;
    long double result = 1.0;
    printf(""Enter a base number: "");
    scanf(""%d"", &base);
    printf(""Enter an exponent: "");
    scanf(""%d"", &exp);

    while (exp != 0) {
        result *= base;
        --exp;
    }
    printf(""Answer = %.0Lf"", result);
    return 0;
}","#include <stdio.h>
int main() {
    int base, exp;
    long double result = 1.0;
    printf(""Enter a base number: "");
    scanf(""%d"", &base);
    printf(""Enter an exponent: "");
    scanf(""%d"", &exp);

    while (exp != 0) {
        result *= base;
        --exp;
    }
    printf(""Answer = %.0Lf"", result);
    return 0;
}"," 
undefined8 entry(void)

{
  int local_28;
  
  _printf(""Enter a base number: "");
  _scanf(""%d"");
  _printf(""Enter an exponent: "");
  _scanf(""%d"");
  if (local_28 != 0) {
    do {
      local_28 = local_28 + -1;
    } while (local_28 != 0);
  }
  _printf(""Answer = %.0Lf"");
  return 0;
}


","This code represents a function called ""entry"" which asks the user to input a base number and an exponent. However, it doesn't assign these inputs to any variables or use them in the program. There's also a loop that subtracts 1 from a variable (local_28) until it is zero, but this variable is uninitialized. Then it prints ""Answer = "" but doesn't calculate or display any actual result.",0.07701259475391044
27,C Program to Check Whether a Number is Palindrome or Not,"To understand this example, you should have the knowledge of the following C programming topics:

C Programming Operators
C if...else Statement
C while and do...while Loop
An integer is a palindrome if the reverse of that number is equal to the original number.

Here, the user is asked to enter an integer. The number is stored in variable n.

We then assigned this number to another variable orignal. Then, the reverse of n is found and stored in reversed.
If original is equal to reversed, the number entered by the user is a palindrome.",,"#include <stdio.h>
int main() {
  int n, reversed = 0, remainder, original;
    printf(""Enter an integer: "");
    scanf(""%d"", &n);
    original = n;

    // reversed integer is stored in reversed variable
    while (n != 0) {
        remainder = n % 10;
        reversed = reversed * 10 + remainder;
        n /= 10;
    }

    // palindrome if orignal and reversed are equal
    if (original == reversed)
        printf(""%d is a palindrome."", original);
    else
        printf(""%d is not a palindrome."", original);

    return 0;
}","#include <stdio.h>
int main() {
  int n, reversed = 0, remainder, original;
    printf(""Enter an integer: "");
    scanf(""%d"", &n);
    original = n;

    while (n != 0) {
        remainder = n % 10;
        reversed = reversed * 10 + remainder;
        n /= 10;
    }

    if (original == reversed)
        printf(""%d is a palindrome."", original);
    else
        printf(""%d is not a palindrome."", original);

    return 0;
}"," 
undefined8 entry(void)

{
  uint uVar1;
  int iVar2;
  char *pcVar3;
  int iVar4;
  int local_14;
  
  _printf(""Enter an integer: "");
  _scanf(""%d"");
  pcVar3 = ""%d is a palindrome."";
  if (local_14 != 0) {
    iVar4 = 0;
    iVar2 = local_14;
    do {
      iVar4 = iVar2 % 10 + iVar4 * 10;
      uVar1 = iVar2 + 9;
      iVar2 = iVar2 / 10;
    } while (0x12 < uVar1);
    if (local_14 != iVar4) {
      pcVar3 = ""%d is not a palindrome."";
    }
  }
  _printf(pcVar3);
  return 0;
}


","This is a simple C program that checks if an integer is a palindrome. A palindrome is a number that remains the same when its digits are reversed. The user is prompted to enter an integer. The program then reverses the digits and compares it with the original. If they match, it is a palindrome. If not, it prints that the number is not a palindrome.",0.13199565716622222
28,C Program to Check Whether a Number is Prime or Not,"To understand this example, you should have the knowledge of the following C programming topics:

C if...else Statement
C for Loop
C break and continue
A prime number is a positive integer that is divisible only by 1 and itself. For example: 2, 3, 5, 7, 11, 13, 17.

In the program, a for loop is iterated from i = 2 to i < n/2.
In each iteration, whether n is perfectly divisible by i is checked using:

if (n % i == 0) {
  flag = 1;
  break;
}

If n is perfectly divisible by i, n is not a prime number. In this case, flag is set to 1, and the loop is terminated using the break statement.
Notice that we have initialized flag as 0 during the start of our program.
So, if n is a prime number after the loop, flag will still be 0. However, if n is a non-prime number, flag will be 1.",,"#include <stdio.h>
int main() {
int n, i, flag = 0;
printf(""Enter a positive integer: "");
scanf(""%d"", &n);
// 0 and 1 are not prime numbers
// change flag to 1 for non-prime number
if (n == 0 || n == 1)
flag = 1;
for (i = 2; i <= n / 2; ++i) {
// if n is divisible by i, then n is not prime
// change flag to 1 for non-prime number
if (n % i == 0) {
flag = 1;
break;
}
}
// flag is 0 for prime numbers
if (flag == 0)
printf(""%d is a prime number."", n);
else
printf(""%d is not a prime number."", n);
return 0;
}","#include <stdio.h>

int main() {

  int n, i, flag = 0;
  printf(""Enter a positive integer: "");
  scanf(""%d"", &n);

  if (n == 0 || n == 1)
    flag = 1;

  for (i = 2; i <= n / 2; ++i) {
    if (n % i == 0) {
      flag = 1;
      break;
    }
  }

  if (flag == 0)
    printf(""%d is a prime number."", n);
  else
    printf(""%d is not a prime number."", n);

  return 0;
}"," 
undefined8 entry(void)

{
  int iVar1;
  char *pcVar2;
  uint uVar3;
  uint local_14;
  
  _printf(""Enter a positive integer: "");
  _scanf(""%d"");
  if (3 < (int)local_14) {
    uVar3 = 1;
    do {
      uVar3 = uVar3 + 1;
      iVar1 = 0;
      if (uVar3 != 0) {
        iVar1 = (int)local_14 / (int)uVar3;
      }
      if (local_14 == iVar1 * uVar3) goto LAB_100003f20;
    } while (local_14 >> 1 != uVar3);
  }
  if (local_14 < 2) {
LAB_100003f20:
    pcVar2 = ""%d is not a prime number."";
  }
  else {
    pcVar2 = ""%d is a prime number."";
  }
  _printf(pcVar2);
  return 0;
}


","This is a program for checking if a number is prime. It prompts the user to input a positive integer and checks if it's less than 2 or not a prime number. If true, it prints ""{number} is not a prime number"". Otherwise, it prints ""{number} is a prime number"". This process is done through simple loops and condition checks.",0.034623290791824655
29,C Program to Display Prime Numbers Between Two Intervals,"To understand this example, you should have the knowledge of the following C programming topics:

C if...else Statement
C for Loop
C break and continue

In this program, the while loop is iterated ( high-low-1) times.
In each iteration, whether low is a prime number or not is checked, and the value of low is incremented by 1 until low is equal to high.

Visit this page to learn more about how to https://www.programiz.com/c-programming/examples/prime-number.
If the user enters the larger number first, the above program doesn't work as intended. You can solve this issue by https://www.programiz.com/c-programming/examples/swapping.",,"#include <stdio.h>
int main() {
int low, high, i, flag;
printf(""Enter two numbers(intervals): "");
scanf(""%d %d"", &low, &high);
printf(""Prime numbers between %d and %d are: "", low, high);
// iteration until low is not equal to high
while (low < high) {
flag = 0;
// ignore numbers less than 2
if (low <= 1) {
++low;
continue;
}
// if low is a non-prime number, flag will be 1
for (i = 2; i <= low / 2; ++i) {
if (low % i == 0) {
flag = 1;
break;
}
}
if (flag == 0)
printf(""%d "", low);
// to check prime for the next number
// increase low by 1
++low;
}
return 0;
}","#include <stdio.h>

int main() {
   int low, high, i, flag;
   printf(""Enter two numbers(intervals): "");
   scanf(""%d %d"", &low, &high);
   printf(""Prime numbers between %d and %d are: "");

   while (low < high) {
      flag = 0;

      if (low <= 1) {
         ++low;
         continue;
      }

      for (i = 2; i <= low / 2; ++i) {

         if (low % i == 0) {
            flag = 1;
            break;
         }
      }

      if (flag == 0)
         printf(""%d "", low);

      ++low;
   }

   return 0;
}"," 
undefined8 entry(void)

{
  int iVar1;
  uint uVar2;
  int local_28;
  uint local_24;
  
  _printf(""Enter two numbers(intervals): "");
  _scanf(""%d %d"");
  _printf(""Prime numbers between %d and %d are: "");
  if ((int)local_24 < local_28) {
    do {
      if (1 < (int)local_24) {
        if (3 < local_24) {
          uVar2 = 1;
          do {
            uVar2 = uVar2 + 1;
            iVar1 = 0;
            if (uVar2 != 0) {
              iVar1 = (int)local_24 / (int)uVar2;
            }
            if (local_24 == iVar1 * uVar2) goto LAB_100003ee8;
          } while (local_24 >> 1 != uVar2);
        }
        _printf(""%d "");
      }
LAB_100003ee8:
      local_24 = local_24 + 1;
    } while ((int)local_24 < local_28);
  }
  return 0;
}


","This is a piece of code in the C programming language that asks the user for two numbers as input, then prints out all the prime numbers in the range between these two numbers. It checks for primes by dividing each number in the range by all the numbers less than it to ensure it cannot be evenly divided, therefore confirming it is a prime number.",0.032491636289449
30,C Program to Check Armstrong Number,"To understand this example, you should have the knowledge of the following C programming topics:

C if...else Statement
C while and do...while Loop
A positive integer is called an Armstrong number (of order n) if

abcd... = an + bn + cn + dn + 
In the case of an Armstrong number of 3 digits, the sum of cubes of each digit is equal to the number itself. For example, 153 is an Armstrong number because

153 = 1*1*1 + 5*5*5 + 3*3*3

In this program, the number of digits of an integer is calculated first and stored in n. And, the pow() function is used to compute the power of individual digits in each iteration of the second for loop.",,"#include <stdio.h>
int main() {
int num, originalNum, remainder, result = 0;
printf(""Enter a three-digit integer: "");
scanf(""%d"", &num);
originalNum = num;
while (originalNum != 0) {
// remainder contains the last digit
remainder = originalNum % 10;
result += remainder * remainder * remainder;
// removing last digit from the orignal number
originalNum /= 10;
}
if (result == num)
printf(""%d is an Armstrong number."", num);
else
printf(""%d is not an Armstrong number."", num);
return 0;
}","#include <stdio.h>
int main() {
int num, originalNum, remainder, result = 0;
printf(""Enter a three-digit integer: "");
scanf(""%d"", &num);
originalNum = num;
while (originalNum != 0) {
remainder = originalNum % 10;
result += remainder * remainder * remainder;
originalNum /= 10;
}
if (result == num)
printf(""%d is an Armstrong number."", num);
else
printf(""%d is not an Armstrong number."", num);
return 0;
}"," 
undefined8 entry(void)

{
  uint uVar1;
  char *pcVar2;
  int iVar3;
  int iVar4;
  int iVar5;
  int local_14;
  
  _printf(""Enter a three-digit integer: "");
  _scanf(""%d"");
  if (local_14 == 0) {
    iVar5 = 0;
  }
  else {
    iVar5 = 0;
    iVar4 = local_14;
    do {
      iVar3 = iVar4 % 10;
      iVar5 = iVar5 + iVar3 * iVar3 * iVar3;
      uVar1 = iVar4 + 9;
      iVar4 = iVar4 / 10;
    } while (0x12 < uVar1);
  }
  pcVar2 = ""%d is an Armstrong number."";
  if (iVar5 != local_14) {
    pcVar2 = ""%d is not an Armstrong number."";
  }
  _printf(pcVar2);
  return 0;
}


","This program checks if a three-digit number is an Armstrong number. An Armstrong number is one where the sum of its digits raised to the third power equals the original number. The user enters a number, and the program calculates this sum. If the sum equals the input number, it's an Armstrong number. If not, it's not an Armstrong number.",0.031482362064873336
31,C Program to Display Armstrong Number Between Two Intervals,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-if-else-statement
• https://www.programiz.com/c-programming/c-for-loop
A positive integer is called an Armstrong number (of order n) if

abcd... = an + bn + cn + dn + 

In the case of an Armstrong number of 3 digits, the sum of cubes of each digit is equal to the number itself. For example, 153 is an Armstrong number because

153 = 1*1*1 + 5*5*5 + 3*3*3

In this program, we will print all the Armstrong numbers between two integers. This means that the two integers will not be part of the range, but only those integers that are between them.
For example, suppose we want to print all Armstrong numbers between 153 and 371. Both of these numbers are also Armstrong numbers.

Then, this program prints all Armstrong numbers that are greater than 153 and less than 371 i.e. 153 and 371 won't be printed even though they are Armstrong numbers.
Tip: Before trying this program, learn how to https://www.programiz.com/c-programming/examples/check-armstrong-number.

In the program, the outer loop is iterated from (low+ 1) to (high - 1). In each iteration, it's checked whether number is an Armstrong number or not.
Inside the outer loop, the number of digits of an integer is calculated first and stored in count. And, the sum of the power of individual digits is stored in the result variable.
If number is equal to result, the number is an Armstrong number.
Notes:
• You need to swap low and high if the user input for high is less than that of low. To learn more, check our example on https://www.programiz.com/c-programming/examples/swapping.
• You need to reset count and result to 0 in each iteration of the outer loop.",,"#include <math.h>
#include <stdio.h>
int main() {
int low, high, number, originalNumber, rem, count = 0;
double result = 0.0;
printf(""Enter two numbers(intervals): "");
scanf(""%d %d"", &low, &high);
printf(""Armstrong numbers between %d and %d are: "", low, high);
// swap numbers if high < low
if (high < low) {
high += low;
low = high - low;
high -= low;
}
// iterate number from (low + 1) to (high - 1)
// In each iteration, check if number is Armstrong
for (number = low + 1; number < high; ++number) {
originalNumber = number;
// number of digits calculation
while (originalNumber != 0) {
originalNumber /= 10;
++count;
}
originalNumber = number;
// result contains sum of nth power of individual digits
while (originalNumber != 0) {
rem = originalNumber % 10;
result += pow(rem, count);
originalNumber /= 10;
}
// check if number is equal to the sum of nth power of individual digits
if ((int)result == number) {
printf(""%d "", number);
}
// resetting the values
count = 0;
result = 0;
}
return 0;
}","#include <math.h>
#include <stdio.h>
int main() {
  int low, high, number, originalNumber, rem, count = 0;
  double result = 0.0;
  printf(""Enter two numbers(intervals): "");
  scanf(""%d %d"", &low, &high);
  printf(""Armstrong numbers between %d and %d are: "", low, high);

  if (high < low) {
    high += low;
    low = high - low;
    high -= low;
  }
   
  for (number = low + 1; number < high; ++number) {
    originalNumber = number;

    while (originalNumber != 0) {
      originalNumber /= 10;
      ++count;
    }

    originalNumber = number;

    while (originalNumber != 0) {
      rem = originalNumber % 10;
      result += pow(rem, count);
      originalNumber /= 10;
    }

    if ((int)result == number) {
      printf(""%d "", number);
    }

    count = 0;
    result = 0;
  }

  return 0;
}"," 
undefined8 entry(void)

{
  uint uVar1;
  ulong uVar2;
  int iVar3;
  int iVar4;
  double extraout_d0;
  double dVar5;
  int local_68;
  int iStack_64;
  
  iVar3 = local_68;
  _printf(""Enter two numbers(intervals): "");
  _scanf(""%d %d"");
  uVar1 = _printf(""Armstrong numbers between %d and %d are: "");
  uVar2 = (ulong)uVar1;
  if (local_68 < iStack_64) {
    local_68 = iStack_64;
    iStack_64 = iVar3;
  }
  while (iStack_64 = iStack_64 + 1, iStack_64 < local_68) {
    if (iStack_64 == 0) {
      dVar5 = 0.0;
    }
    else {
      iVar3 = 0;
      iVar4 = iStack_64;
      do {
        uVar1 = iVar4 + 9;
        iVar4 = iVar4 / 10;
        iVar3 = iVar3 + 1;
      } while (0x12 < uVar1);
      dVar5 = 0.0;
      iVar4 = iStack_64;
      do {
        uVar2 = _pow((double)(iVar4 % 10),(double)iVar3,uVar2);
        dVar5 = dVar5 + extraout_d0;
        uVar1 = iVar4 + 9;
        iVar4 = iVar4 / 10;
      } while (0x12 < uVar1);
    }
    if (iStack_64 == (int)dVar5) {
      uVar1 = _printf(""%d "");
      uVar2 = (ulong)uVar1;
    }
  }
  return 0;
}


","This code is essentially used to find Armstrong numbers within a specific range. It first asks for two interval numbers as input. After sorting these intervals, it loops to check each number within. If a number is an Armstrong number (a number that is equal to the sum of its own digits each raised to the power of the number of digits), it prints this number.",0.004758895772333376
32,C Program to Display Factors of a Number,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-operators
• https://www.programiz.com/c-programming/c-if-else-statement
• https://www.programiz.com/c-programming/c-for-loop
This program takes a positive integer from the user and displays all the positive factors of that number.

In the program, a positive integer entered by the user is stored in num.

The for loop is iterated until i is false.
In each iteration, whether num is exactly divisible by i is checked. It is the condition for i to be a factor of num.

if (num % i == 0) {
            printf(""%d "", i);
}

Then the value of i is incremented by 1.",,"#include <stdio.h>
int main() {
int num, i;
printf(""Enter a positive integer: "");
scanf(""%d"", &num);
printf(""Factors of %d are: "", num);
for (i = 1; i <= num; ++i) {
if (num % i == 0) {
printf(""%d "", i);
}
}
return 0;
}","#include <stdio.h>
int main() {
    int num, i;
    printf(""Enter a positive integer: "");
    scanf(""%d"", &num);
    printf(""Factors of %d are: "", num);
    for (i = 1; i <= num; ++i) {
        if (num % i == 0) {
            printf(""%d "", i);
        }
    }
    return 0;
}"," 
undefined8 entry(void)

{
  int iVar1;
  int iVar2;
  int local_24;
  
  _printf(""Enter a positive integer: "");
  _scanf(""%d"");
  _printf(""Factors of %d are: "");
  if (0 < local_24) {
    iVar2 = 0;
    do {
      iVar2 = iVar2 + 1;
      iVar1 = 0;
      if (iVar2 != 0) {
        iVar1 = local_24 / iVar2;
      }
      if (local_24 == iVar1 * iVar2) {
        _printf(""%d "");
      }
    } while (iVar2 < local_24);
  }
  return 0;
}


","This program asks the user to input a positive integer and then prints out all the factors of that number. It does this by continuously dividing the user's input by all numbers less than it, and checks if the remainder is zero (which means that this number is a factor). The loop continues until all possible factors are checked.",0.046074588909778134
33,C Program to Make a Simple Calculator Using switch...case,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-switch-case-statement
• https://www.programiz.com/c-programming/c-break-continue-statement
This program takes an arithmetic operator +, -, *, / and two operands from the user. Then, it performs the calculation on the two operands depending upon the operator entered by the user.

The * operator entered by the user is stored in op. And, the two operands, 1.5 and 4.5 are stored in first and second respectively.
Since the operator * matches case '*':, the control of the program jumps to

printf(""%.1lf * %.1lf = %.1lf"", first, second, first * second);


This statement calculates the product and displays it on the screen.
To make our output look cleaner, we have simply limited the output to one decimal place using the code %.1lf.
Finally, the break; statement ends the switch statement.","Enter an operator (+, -, *,): *
Enter two operands: 1.5
4.5
1.5 * 4.5 = 6.8","#include <stdio.h>

int main() {

  char op;
  double first, second;
  printf(""Enter an operator (+, -, *, /): "");
  scanf(""%c"", &op);
  printf(""Enter two operands: "");
  scanf(""%lf %lf"", &first, &second);

  switch (op) {
    case '+':
      printf(""%.1lf + %.1lf = %.1lf"", first, second, first + second);
      break;
    case '-':
      printf(""%.1lf - %.1lf = %.1lf"", first, second, first - second);
      break;
    case '*':
      printf(""%.1lf * %.1lf = %.1lf"", first, second, first * second);
      break;
    case '/':
      printf(""%.1lf / %.1lf = %.1lf"", first, second, first / second);
      break;
    // operator doesn't match any case constant
    default:
      printf(""Error! operator is not correct"");
  }

  return 0;
}","#include <stdio.h>
int main() {
char op;
double first, second;
printf(""Enter an operator (+, -, , /): "");
scanf(""%c"", &op);
printf(""Enter two operands: "");
scanf(""%lf %lf"", &first, &second);
switch (op) {
case '+':
printf(""%.1lf + %.1lf = %.1lf"", first, second, first + second);
break;
case '-':
printf(""%.1lf - %.1lf = %.1lf"", first, second, first - second);
break;
case '*':
printf(""%.1lf * %.1lf = %.1lf"", first, second, first * second);
break;
case '/':
printf(""%.1lf / %.1lf = %.1lf"", first, second, first / second);
break;
default:
printf(""Error! operator is not correct"");
}
return 0;
}"," 
undefined8 entry(void)

{
  char *pcVar1;
  undefined local_11;
  
  _printf(""Enter an operator (+, -, , /): "");
  _scanf(""%c"");
  _printf(""Enter two operands: "");
  _scanf(""%lf %lf"");
  switch(local_11) {
  case 0x2a:
    pcVar1 = ""%.1lf * %.1lf = %.1lf"";
    break;
  case 0x2b:
    pcVar1 = ""%.1lf + %.1lf = %.1lf"";
    break;
  default:
    pcVar1 = ""Error! operator is not correct"";
    break;
  case 0x2d:
    pcVar1 = ""%.1lf - %.1lf = %.1lf"";
    break;
  case 0x2f:
    pcVar1 = ""%.1lf / %.1lf = %.1lf"";
  }
  _printf(pcVar1);
  return 0;
}


","This code is a basic calculator function. It asks the user to enter an operator (+, -, *, or /) and two numbers to perform the operation on. Depending on the chosen operator, it performs multiplication, addition, subtraction, or division. If an invalid operator is entered, it returns an error message. The result is then printed out.",0.029051053296761022
34,C Program to Display Prime Numbers Between Intervals Using Function,"To understand this example, you should have the knowledge of the following C programming topics:

C for Loop
C break and continue
C Functions
C User-defined functions
Make sure you visit these tutorials before looking at this example:

Check Whether a Number is Prime or Not
Swap Two Numbers

Explanation
1. In this program, we print all the prime numbers between n1 and n2. If n1 is greater than n2, we https://www.programiz.com/c-programming/examples/swapping#example2:

if (n1 > n2) {
  n1 = n1 + n2;
  n2 = n1 - n2;
  n1 = n1 - n2;
}
2. Then, we run a for loop from i = n1 + 1 to i = n2 - 1.

In each iteration of the loop, we check if i is a prime number using the checkPrimeNumber() function.
If i is prime, we print it.

for (i = n1 + 1; i < n2; ++i) {
  flag = checkPrimeNumber(i);
  if (flag == 1)
    printf(""%d "", i);
  }
}

3. The checkPrimeNumber() function contains the code to https://www.programiz.com/c-programming/examples/prime-number.

int checkPrimeNumber(int n) {
  int j, flag = 1;
  for (j = 2; j <= n / 2; ++j) {
    if (n % j == 0) {
      flag = 0;
      break;
    }
  }
  return flag;
}","Enter two positive integers: 12
30
Prime numbers between 12 and 30 are: 13 17 19 23 29","#include <stdio.h>
int checkPrimeNumber(int n);
int main() {

  int n1, n2, i, flag;

  printf(""Enter two positive integers: "");
  scanf(""%d %d"", &n1, &n2);

  // swap n1 and n2 if n1 > n2
  if (n1 > n2) {
    n1 = n1 + n2;
    n2 = n1 - n2;
    n1 = n1 - n2;
  }

  printf(""Prime numbers between %d and %d are: "", n1, n2);
  for (i = n1 + 1; i < n2; ++i) {

    // flag will be equal to 1 if i is prime
    flag = checkPrimeNumber(i);

    if (flag == 1) {
      printf(""%d "", i);
    }
  }
  
  return 0;
}

// user-defined function to check prime number
int checkPrimeNumber(int n) {
  int j, flag = 1;

  for (j = 2; j <= n / 2; ++j) {

    if (n % j == 0) {
      flag = 0;
      break;
    }
  }

  return flag;
}","#include <stdio.h>
int checkPrimeNumber(int n);
int main() {

  int n1, n2, i, flag;

  printf(""Enter two positive integers: "");
  scanf(""%d %d"", &n1, &n2);

  if (n1 > n2) {
    n1 = n1 + n2;
    n2 = n1 - n2;
    n1 = n1 - n2;
  }

  printf(""Prime numbers between %d and %d are: "", n1, n2);
  for (i = n1 + 1; i < n2; ++i) {
    flag = checkPrimeNumber(i);

    if (flag == 1) {
      printf(""%d "", i);
    }
  }
  
  return 0;
}

int checkPrimeNumber(int n) {
  int j, flag = 1;

  for (j = 2; j <= n / 2; ++j) {
    if (n % j == 0) {
      flag = 0;
      break;
    }
  }

  return flag;
}"," 
undefined8 entry(void)

{
  int iVar1;
  uint uVar2;
  uint uVar3;
  uint local_28;
  uint uStack_24;
  
  uVar2 = local_28;
  _printf(""Enter two positive integers: "");
  _scanf(""%d %d"");
  if ((int)local_28 < (int)uStack_24) {
    local_28 = uStack_24;
    uStack_24 = uVar2;
  }
  _printf(""Prime numbers between %d and %d are: "");
joined_r0x000100003ecc:
  do {
    uVar2 = uStack_24 + 1;
    if ((int)local_28 <= (int)uVar2) {
      return 0;
    }
    if (2 < (int)uStack_24) {
      uVar3 = 1;
      do {
        uVar3 = uVar3 + 1;
        iVar1 = 0;
        if (uVar3 != 0) {
          iVar1 = (int)uVar2 / (int)uVar3;
        }
        uStack_24 = uVar2;
        if (uVar2 == iVar1 * uVar3) goto joined_r0x000100003ecc;
      } while (uVar2 >> 1 != uVar3);
    }
    _printf(""%d "");
    uStack_24 = uVar2;
  } while( true );
}


","This piece of code is about finding and printing all the prime numbers between two provided positive integers. The user is asked to input two numbers. The code then checks through those numbers and prints out any that are prime numbers, or numbers only divisible by 1 and themselves.",0.0019483987906118538
